timestamp,username,action,points

2026-01-22 22:16:22,anjali519,Carbon Reduction,26
2026-01-22 22:16:24,anjali519,Carbon Reduction,26
2026-01-24 20:46:18,anjali519,Eco-Runner Victory,41
2026-01-24 20:46:55,anjali519,Renewable Energy Victory,43
2026-01-24 20:48:55,anjali519,Waste Segregation Attempt,5
2026-01-24 20:49:57,anjali519,Waste Segregation Attempt,0
2026-01-24 20:51:58,anjali519,Waste Segregation Attempt,20
2026-01-24 20:52:32,anjali519,Fire Rescue 3D Attempt,30
2026-01-24 21:00:03,anjali519,Waste Segregation Attempt,0
